price,quantity,type,timestamp
47190000,0.0409,0,2023-11-08 23:12:57
47189000,0.106,0,2023-11-08 23:12:57
47188000,0.1055,0,2023-11-08 23:12:57
47187000,0.1062,0,2023-11-08 23:12:57
47186000,0.0042,0,2023-11-08 23:12:57
47200000,0.0915,1,2023-11-08 23:12:57
47203000,0.0441,1,2023-11-08 23:12:57
47204000,0.0054,1,2023-11-08 23:12:57
47205000,0.0001,1,2023-11-08 23:12:57
47206000,0.1968,1,2023-11-08 23:12:57
47190000,0.0847,0,2023-11-08 23:13:01
47189000,0.1026,0,2023-11-08 23:13:01
47188000,0.145,0,2023-11-08 23:13:01
47187000,0.1062,0,2023-11-08 23:13:01
47186000,0.0042,0,2023-11-08 23:13:01
47199000,0.0441,1,2023-11-08 23:13:01
47200000,0.1763,1,2023-11-08 23:13:01
47204000,0.0054,1,2023-11-08 23:13:01
47205000,0.0001,1,2023-11-08 23:13:01
47206000,0.1968,1,2023-11-08 23:13:01
47190000,0.0955,0,2023-11-08 23:13:05
47189000,0.0816,0,2023-11-08 23:13:05
47188000,0.1055,0,2023-11-08 23:13:05
47187000,0.1062,0,2023-11-08 23:13:05
47186000,0.0073,0,2023-11-08 23:13:05
47200000,0.0915,1,2023-11-08 23:13:05
47202000,0.044,1,2023-11-08 23:13:05
47203000,0.0848,1,2023-11-08 23:13:05
47204000,0.0054,1,2023-11-08 23:13:05
47205000,0.0001,1,2023-11-08 23:13:05
47195000,0.0831,0,2023-11-08 23:13:09
47193000,0.0206,0,2023-11-08 23:13:09
47192000,0.0885,0,2023-11-08 23:13:09
47191000,0.046,0,2023-11-08 23:13:09
47189000,0.0816,0,2023-11-08 23:13:09
47204000,0.0054,1,2023-11-08 23:13:09
47205000,0.0001,1,2023-11-08 23:13:09
47206000,0.0609,1,2023-11-08 23:13:09
47207000,0.004,1,2023-11-08 23:13:09
47208000,0.044,1,2023-11-08 23:13:09
47205000,0.0269,0,2023-11-08 23:13:13
47196000,0.0759,0,2023-11-08 23:13:13
47195000,0.0766,0,2023-11-08 23:13:13
47192000,0.0885,0,2023-11-08 23:13:13
47191000,0.0428,0,2023-11-08 23:13:13
47206000,0.0609,1,2023-11-08 23:13:13
47207000,0.004,1,2023-11-08 23:13:13
47208000,0.0441,1,2023-11-08 23:13:13
47209000,0.0611,1,2023-11-08 23:13:13
47210000,0.0001,1,2023-11-08 23:13:13
47197000,0.0609,0,2023-11-08 23:13:17
47196000,0.1369,0,2023-11-08 23:13:17
47195000,0.0766,0,2023-11-08 23:13:17
47192000,0.0914,0,2023-11-08 23:13:17
47191000,0.0428,0,2023-11-08 23:13:17
47204000,0.0441,1,2023-11-08 23:13:17
47206000,0.0609,1,2023-11-08 23:13:17
47207000,0.004,1,2023-11-08 23:13:17
47209000,0.0611,1,2023-11-08 23:13:17
47210000,0.0001,1,2023-11-08 23:13:17
47197000,0.1247,0,2023-11-08 23:13:21
47196000,0.0522,0,2023-11-08 23:13:21
47192000,0.112,0,2023-11-08 23:13:21
47191000,0.0428,0,2023-11-08 23:13:21
47189000,0.0816,0,2023-11-08 23:13:21
47205000,0.0439,1,2023-11-08 23:13:21
47206000,0.0209,1,2023-11-08 23:13:21
47207000,0.004,1,2023-11-08 23:13:21
47209000,0.0611,1,2023-11-08 23:13:21
47210000,0.0001,1,2023-11-08 23:13:21
47197000,0.1046,0,2023-11-08 23:13:25
47196000,0.0522,0,2023-11-08 23:13:25
47195000,0.0847,0,2023-11-08 23:13:25
47193000,0.0206,0,2023-11-08 23:13:25
47192000,0.0914,0,2023-11-08 23:13:25
47205000,0.0438,1,2023-11-08 23:13:25
47206000,0.0209,1,2023-11-08 23:13:25
47207000,0.0888,1,2023-11-08 23:13:25
47209000,0.0611,1,2023-11-08 23:13:25
47210000,0.0886,1,2023-11-08 23:13:25
47197000,0.0725,0,2023-11-08 23:13:29
47191000,0.0428,0,2023-11-08 23:13:29
47189000,0.0816,0,2023-11-08 23:13:29
47188000,0.1295,0,2023-11-08 23:13:29
47187000,0.1062,0,2023-11-08 23:13:29
47200000,0.0002,1,2023-11-08 23:13:29
47204000,0.0435,1,2023-11-08 23:13:29
47205000,0.0871,1,2023-11-08 23:13:29
47206000,0.0209,1,2023-11-08 23:13:29
47207000,0.0648,1,2023-11-08 23:13:29
